Title,Subject,List,"Send Date","Send Weekday","Total Recipients","Successful Deliveries","Soft Bounces","Hard Bounces","Total Bounces","Times Forwarded","Forwarded Opens","Unique Opens","Open Rate","Total Opens","Unique Clicks","Click Rate","Total Clicks",Unsubscribes,"Abuse Complaints","Times Liked on Facebook","Folder Id","Unique Id","Total Orders","Total Gross Sales","Total Revenue","Analytics ROI","Campaign Cost","Revenue Created",Visits,"New Visits",Pages/Visit,"Bounce Rate","Time on Site","Goal Conversion Rate","Per Visit Goal Value",Transactions,"Ecommerce Conversion Rate","Per Visit Value","Average Value"
"S.E.E.K, Inc. Newsletter","Aspiring Volnteers",,"May 23, 2013 09:00 am",Thursday,75,68,1,6,7,0,0,29,42.65%,100,0,0.00%,0,0,0,0,0,321cc47f5e,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"S.E.E.K, Inc. Newsletter (copy 01)","Aspiring Volnteers","General email list","May 24, 2013 10:34 am",Friday,90,81,1,8,9,0,0,28,34.57%,56,0,0.00%,0,0,0,0,0,0712087136,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"S.E.E.K,Inc., Newsletter","Events and Volunteers","General email list","Jun 17, 2013 08:00 am",Monday,95,92,1,2,3,0,0,32,34.78%,87,5,5.43%,8,0,0,0,0,d167067883,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"S.E.E.K,Inc Newsletter","Back to School Celebration","General email list","Jul 18, 2013 08:00 am",Thursday,13,12,0,1,1,0,0,7,58.33%,8,1,8.33%,2,0,0,0,0,c0cd680b1f,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"S.E.E.K,Inc Newsletter (copy 01)","Back to School Celebration","General email list","Jul 19, 2013 10:42 am",Friday,105,104,1,0,1,0,0,52,50.00%,126,4,3.85%,9,0,0,0,0,e8dbf28815,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"S.E.E.K, Inc., newsletter","Health Fair and Feed the Homeless","General email list","Sep 16, 2013 09:00 am",Monday,130,126,1,3,4,0,0,56,44.44%,128,2,1.59%,2,0,0,0,0,046eeec67e,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"SEEK's November 2013","Hey Volunteers check out November's newsletter","General email list","Oct 21, 2013 09:00 am",Monday,137,135,1,1,2,0,0,58,42.96%,131,4,2.96%,7,0,0,0,0,3fecbafd43,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"S.E.E.K's monthly newsletter","""Christmas Give Away""","General email list","Nov 26, 2013 08:00 am",Tuesday,166,164,0,2,2,0,0,67,40.85%,120,0,0.00%,0,0,0,0,0,3f0a7ef151,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"S.E.E.K, Inc. Monthly Newsletter","Happy New Years","General email list","Dec 30, 2013 08:00 am",Monday,188,184,0,4,4,0,0,70,38.04%,108,4,2.17%,7,0,0,0,0,7878b10656,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"S.E.E.K's  February Newsletter","Donations and Sponsorships","General email list","Jan 27, 2014 12:36 pm",Monday,187,187,0,0,0,0,0,88,47.06%,168,5,2.67%,8,0,0,0,0,2f036a505d,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
